config,target,trial,core_number,execs_sec,execs_done,run_time
aflplusplus_nothing2,re2_fuzzer,27,0,7046.880697296571,576850607,81859
aflplusplus_nothing2,re2_fuzzer,30,0,7138.668543855363,584371407,81860
aflplusplus_nothing2,re2_fuzzer,40,0,7007.643343146477,573666707,81863
aflplusplus_nothing2,re2_fuzzer,33,0,7172.775779713403,587141907,81857
aflplusplus_nothing2,re2_fuzzer,34,0,6869.873775378075,562381607,81862
aflplusplus_nothing2,re2_fuzzer,32,0,6891.048325820599,564108107,81861
aflplusplus_nothing2,re2_fuzzer,36,0,7115.771942683329,582504207,81861
aflplusplus_nothing2,re2_fuzzer,39,0,7010.807825747025,573890707,81858
aflplusplus_nothing2,re2_fuzzer,28,0,7054.300215006475,577450907,81858
aflplusplus_nothing2,re2_fuzzer,37,0,6835.045712749972,559510007,81859
aflplusplus_nothing2,re2_fuzzer,38,0,6991.097189137685,572298207,81861
aflplusplus_nothing2,re2_fuzzer,24,0,6938.454106811297,568009607,81864
aflplusplus_nothing2,re2_fuzzer,22,0,6808.057449641474,557328007,81863
aflplusplus_nothing2,re2_fuzzer,31,0,6918.833990936076,566396507,81863
aflplusplus_nothing2,re2_fuzzer,23,0,6882.0894554249835,563381607,81862
aflplusplus_nothing2,re2_fuzzer,21,0,6736.830039091131,551476907,81860
aflplusplus_nothing2,re2_fuzzer,26,0,6960.145207788718,569771407,81862
aflplusplus_nothing2,re2_fuzzer,25,0,6993.792152742997,572532807,81863
aflplusplus_nothing2,re2_fuzzer,35,0,7120.736962337678,582896407,81859
aflplusplus_nothing2,re2_fuzzer,29,0,6882.096784833012,563382207,81862
aflplusplus_nothing3,re2_fuzzer,53,0,6883.905730445511,563523407,81861
aflplusplus_nothing3,re2_fuzzer,44,0,6548.540311744155,536076607,81862
aflplusplus_nothing3,re2_fuzzer,48,0,6964.126297916005,570097307,81862
aflplusplus_nothing3,re2_fuzzer,55,0,6959.411541233524,569718307,81863
aflplusplus_nothing3,re2_fuzzer,42,0,6822.765783044222,558511607,81860
