,fuzzer,benchmark,n,average,stddev,cv
0,afl,bloaty_fuzz_target,143,8358.097902097903,372.11614714682673,0.044521630579778766
1,afl,curl_curl_fuzzer_http,148,17624.0,62.726270684725854,0.0035591392807947037
2,afl,freetype2-2017,147,20623.190476190477,266.17502052692964,0.012906587893576862
3,afl,harfbuzz-1.3.2,148,8401.601351351352,89.13200024429604,0.010608929954759117
4,afl,jsoncpp_jsoncpp_fuzzer,151,638.3973509933775,0.5174227182059759,0.0008105026084472951
5,afl,lcms-2017-03-21,143,2520.7062937062938,209.2445779723206,0.08301029695318451
6,afl,libjpeg-turbo-07-2017,147,3732.7278911564626,119.16579665939176,0.03192458709399044
7,afl,libpcap_fuzz_both,151,101.54966887417218,64.09739347188484,0.6311925403844144
8,afl,libpng-1.2.56,146,1511.5616438356165,6.509380608004031,0.004306394406440715
9,afl,libxml2-v2.9.2,151,10227.966887417218,1413.4944990682654,0.13819897098094763
10,afl,libxslt_xpath,145,18857.841379310346,69.84891193200012,0.003703971760449423
11,afl,mbedtls_fuzz_dtlsclient,150,8571.586666666666,951.9175221354766,0.11105499590143676
12,afl,openssl_x509,146,13777.705479452055,3.303431461936533,0.0002397664449180773
13,afl,openthread-2019-12-23,150,5795.366666666667,149.46420714338993,0.025790293477557923
14,afl,php_php-fuzz-parser,149,43435.476510067114,102.28494802825824,0.0023548710926321135
15,afl,proj4-2017-08-14,151,4540.867549668874,658.7165265423026,0.1450640256156199
16,afl,re2-2014-12-09,145,3525.8689655172416,18.897109998185563,0.00535956105657868
17,afl,sqlite3_ossfuzz,136,35014.404411764706,567.41863020729,0.01620529150045001
18,afl,systemd_fuzz-link-parser,147,640.0,0.0,0.0
19,afl,vorbis-2017-12-11,151,2166.198675496689,4.816665329941712,0.002223556585287495
20,afl,woff2-2016-05-06,147,1863.8163265306123,17.588142179244066,0.0094366284536113
21,afl,zlib_zlib_uncompress_fuzzer,146,963.5410958904109,7.436282638549776,0.007717660066878504
22,aflfast,bloaty_fuzz_target,147,8066.319727891157,422.2051696664503,0.052341735005442286
23,aflfast,curl_curl_fuzzer_http,149,17449.25503355705,100.48921915837373,0.00575894036536922
24,aflfast,freetype2-2017,144,20107.909722222223,501.98127612804325,0.024964368900725644
25,aflfast,harfbuzz-1.3.2,144,8344.951388888889,88.80325782006037,0.010641554837371475
26,aflfast,jsoncpp_jsoncpp_fuzzer,145,638.3793103448276,0.5146326294503547,0.0008061549318889584
